"De acuerdo con el artículo 82.1 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, por la que se transponen al ordenamiento jurídico español las Directivas del Parlamento Europeo y del Consejo 2014/23/UE y 2014/24/UE, de 26 de febrero de 2014, la clasificación de las empresas en tanto se mantengan por el empresario las condiciones y circunstancias en que se basó su concesión:",Tendrá una vigencia indefinida.,Tendrá una vigencia por diez años.,Tendrá una vigencia por cinco años.,Tendrá una vigencia por tres años.,3,El artículo 82.1 de la Ley 9/2017 establece que la clasificación de las empresas tendrá una vigencia de cinco años.,Ley de contratos del Sector Público L9-2017
"Cuando el órgano de contratación proceda a la división en lotes del objeto del contrato, este podrá introducir las siguientes limitaciones, justificándolas debidamente en el expediente:",Podrá limitar el número de lotes para los que un mismo candidato o licitador puede presentar oferta.,Podrá limitar el número de lotes que pueden adjudicarse a cada licitador.,"Podrá limitar el número de lotes para los que un mismo candidato o licitador puede presentar oferta, pero no podrá limitar el número de lotes que pueden adjudicarse a cada licitador.",Las respuestas a) y b) son correctas.,4,El artículo 116 de la Ley 9/2017 permite limitar tanto el número de lotes para los que un mismo candidato puede presentar oferta como el número de lotes que pueden adjudicarse a cada licitador.,Ley de contratos del Sector Público L9-2017
"Señale la respuesta incorrecta. Para el cálculo del valor estimado de los contratos de concesión de obras y de concesión de servicios se tendrán en cuenta, cuando proceda, los siguientes conceptos:","La renta procedente del pago de tasas y multas por los usuarios de las obras o servicios, distintas de las recaudadas en nombre del poder adjudicador.","Los pagos o ventajas financieras, cualquiera que sea su forma, concedidos al concesionario por el poder adjudicador o por cualquier otra autoridad pública, incluida la compensación por el cumplimiento de una obligación de servicio público y subvenciones a la inversión pública.","El valor de los subsidios o ventajas financieras, cualquiera que sea su forma, procedentes de terceros a cambio de la ejecución de la concesión.",El precio de la compra de cualquier activo que forme parte de la concesión.,1,"El artículo 14 de la Ley 9/2017 establece que no se incluyen en el cálculo del valor estimado las tasas y multas recaudadas por los usuarios, salvo que sean recaudadas en nombre del poder adjudicador.",Ley de contratos del Sector Público L9-2017
Los contratos del sector público tendrán siempre:,"Un precio cierto, que se abonará al contratista en función de la prestación realmente ejecutada y de acuerdo con lo pactado. En el precio no se entenderá incluido el importe a abonar en concepto de Impuesto sobre el Valor Añadido, que en todo caso se indicará como partida independiente.","Un precio cierto, que se abonará al contratista en función de la prestación realmente ejecutada y de acuerdo con lo pactado. En el precio se entenderá incluido el importe a abonar en concepto de Impuesto sobre el Valor Añadido, que en todo caso se indicará como partida independiente.","Un precio incierto ya que se abonará al contratista en función de la prestación realmente ejecutada y de acuerdo con lo pactado. En el precio se entenderá incluido el importe a abonar en concepto de Impuesto sobre el Valor Añadido, que en todo caso se indicará como partida independiente.","Un precio indeterminado, que se abonará al contratista en función de la prestación realmente ejecutada y de acuerdo con lo pactado. En el precio no se entenderá incluido el importe a abonar en concepto de Impuesto sobre el Valor Añadido, que en todo caso se indicará como partida independiente.",1,"El artículo 210 de la Ley 9/2017 establece que los contratos del sector público tendrán un precio cierto, y el IVA no estará incluido en el precio, sino que se indicará como partida independiente.",Ley de contratos del Sector Público L9-2017
"Señale la respuesta incorrecta. Respecto a la revisión de precios en los contratos de las entidades del Sector Público, previa justificación en el expediente y de conformidad con lo previsto en el Real Decreto al que se refieren los artículos 4 y 5 de la Ley 2/2015, de 30 de marzo, de desindexación de la economía española, la revisión periódica y predeterminada de precios solo se podrá llevar a cabo:",En los contratos de obra.,En los contratos de suministros de fabricación de armamento y equipamiento de las Administraciones Públicas.,En los contratos de suministro de energía.,En aquellos contratos en los que el período de recuperación de la inversión sea igual o superior a diez años.,4,El artículo 210 de la Ley 9/2017 establece que la revisión de precios no se aplica a contratos con un período de recuperación de la inversión igual o superior a diez años.,Ley de contratos del Sector Público L9-2017
"En los casos en que el órgano de contratación haya acordado la exigencia de garantía provisional, en los pliegos de cláusulas administrativas particulares se determinará el importe de la misma:","Que no podrá ser superior a un 3 por 100 del presupuesto base de licitación del contrato, excluido el Impuesto sobre el Valor Añadido.","Que no podrá ser superior a un 3 por 100 del presupuesto base de licitación del contrato, incluido el Impuesto sobre el Valor Añadido.","Que no podrá ser superior a un 5 por 100 del presupuesto base de licitación del contrato, incluido el Impuesto sobre el Valor Añadido.","Que no podrá ser superior a un 5 por 100 del presupuesto base de licitación del contrato, excluido el Impuesto sobre el Valor Añadido.",1,"El artículo 220 de la Ley 9/2017 establece que la garantía provisional no podrá ser superior al 3% del presupuesto base de licitación, excluido el IVA.",Ley de contratos del Sector Público L9-2017
"Señale la respuesta incorrecta. El órgano de contratación podrá eximir al adjudicatario de la obligación de constituir garantía definitiva, justificándolo adecuadamente en el pliego de cláusulas administrativas particulares:",Especialmente en el caso de suministros de bienes consumibles cuya entrega y recepción deba efectuarse antes del pago del precio.,En los contratos que tengan por objeto la prestación de servicios sociales o la inclusión social o laboral de personas pertenecientes a colectivos en riesgo de exclusión social.,"En los contratos privados de la Administración a los que se refieren los puntos 1.º y 2.º de la letra a) del apartado 1 del artículo 25 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público.",En el caso de contratos de obras y concesión de obras.,4,"El artículo 220 de la Ley 9/2017 no permite eximir de la obligación de constituir garantía definitiva en contratos de obras y concesión de obras, por lo que la opción d) es incorrecta.",Ley de contratos del Sector Público L9-2017
"Cuando el precio del contrato se formule en función de precios unitarios, el importe de la garantía definitiva a constituir se fijará atendiendo:","Al presupuesto base de licitación, IVA excluido.","Al presupuesto base de licitación, IVA incluido.","Al importe de adjudicación, IVA excluido.","Al importe de adjudicación, IVA incluido.",3,"El artículo 220 de la Ley 9/2017 establece que, en contratos con precios unitarios, la garantía definitiva se fijará atendiendo al importe de adjudicación, excluyendo el IVA.",Ley de contratos del Sector Público L9-2017
Señale la respuesta incorrecta. Las garantías definitivas exigidas en los contratos celebrados con las Administraciones Públicas podrán prestarse en alguna o algunas de las siguientes formas:,"En efectivo o en valores, que en todo caso serán de Deuda Pública.",Mediante aval.,Mediante contrato de seguro de caución.,Mediante retención en el precio aunque no se haya previsto en los pliegos de cláusulas administrativas particulares.,4,"El artículo 220 de la Ley 9/2017 establece que la retención en el precio solo es válida si se ha previsto en los pliegos de cláusulas administrativas particulares, por lo que la opción d) es incorrecta.",Ley de contratos del Sector Público L9-2017
Señale la respuesta incorrecta. En relación a las consultas preliminares del mercado:,"El órgano de contratación hará constar en un informe motivado las actuaciones realizadas. En el informe se relacionarán los estudios realizados y sus autores, las entidades consultadas, las cuestiones que se les han formulado y las respuestas a las mismas. Este informe formará parte del expediente de contratación, y estará sujeto a las mismas obligaciones de publicidad que los pliegos de condiciones, publicándose en todo caso en el perfil del contratante del órgano de contratación.","En ningún caso durante el proceso de consultas, el órgano de contratación podrá revelar a los participantes en el mismo las soluciones propuestas por los otros participantes, siendo las mismas solo conocidas íntegramente por aquel.","Con carácter general, el órgano de contratación al elaborar los pliegos deberá tener en cuenta los resultados de las consultas realizadas; de no ser así deberá dejar constancia de los motivos en el informe de las actuaciones realizadas.",La participación en la consulta impide la posterior intervención en el procedimiento de contratación que en su caso se tramite.,4,"El artículo 133 de la Ley 9/2017 no establece que la participación en las consultas preliminares impida la posterior intervención en el procedimiento de contratación, por lo que la opción d) es incorrecta.",Ley de contratos del Sector Público L9-2017
"De acuerdo con el artículo 119 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, por la que se transponen al ordenamiento jurídico español las Directivas del Parlamento Europeo y del Consejo 2014/23/UE y 2014/24/UE, de 26 de febrero de 2014, en el expediente de contratación calificado de urgente:","El plazo de inicio de la ejecución del contrato no podrá exceder de quince días, contados desde la formalización.","El plazo de inicio de la ejecución del contrato no podrá exceder de un mes, contado desde la adjudicación.","El plazo de inicio de la ejecución del contrato no podrá exceder de un mes, contado desde la formalización.","El plazo de inicio de la ejecución del contrato no podrá exceder de quince días, contados desde la adjudicación.",3,"El artículo 119 de la Ley 9/2017 establece que, en expedientes calificados de urgentes, el plazo de inicio de la ejecución del contrato no podrá exceder de un mes desde la formalización.",Ley de contratos del Sector Público L9-2017
Los pliegos de cláusulas administrativas particulares y de prescripciones técnicas particulares:,"Deberán aprobarse con posterioridad a la autorización del gasto o conjuntamente con ella, y siempre con posterioridad a la licitación del contrato.","Deberán aprobarse previamente a la autorización del gasto o conjuntamente con ella, y siempre antes de la licitación del contrato, o de no existir esta, antes de su adjudicación.","Deberán aprobarse con posterioridad a la autorización del gasto y siempre antes de la licitación del contrato, o de no existir esta, antes de su adjudicación.","Deberán aprobarse previamente a la autorización del gasto o conjuntamente con ella, y siempre con posterioridad a la licitación del contrato.",2,El artículo 143 de la Ley 9/2017 establece que los pliegos deben aprobarse previamente o conjuntamente con la autorización del gasto y siempre antes de la licitación o adjudicación del contrato.,Ley de contratos del Sector Público L9-2017
"El contratista deberá respetar el carácter confidencial de aquella información a la que tenga acceso con ocasión de la ejecución del contrato a la que se le hubiese dado el referido carácter en los pliegos o en el contrato, o que por su propia naturaleza deba ser tratada como tal. Este deber se mantendrá durante un plazo:","De tres años desde el conocimiento de esa información, salvo que los pliegos o el contrato establezcan un plazo mayor que, en todo caso, deberá ser definido y limitado en el tiempo.","De cuatro años desde el conocimiento de esa información, salvo que los pliegos o el contrato establezcan un plazo mayor que, en todo caso, deberá ser definido y limitado en el tiempo.","De cinco años desde el conocimiento de esa información, salvo que los pliegos o el contrato establezcan un plazo menor que, en todo caso, deberá ser definido y limitado en el tiempo.","De cinco años desde el conocimiento de esa información, salvo que los pliegos o el contrato establezcan un plazo mayor que, en todo caso, deberá ser definido y limitado en el tiempo.",4,"El artículo 210 de la Ley 9/2017 establece que el deber de confidencialidad se mantendrá durante cinco años, salvo que los pliegos o el contrato establezcan un plazo mayor, que debe ser definido y limitado.",Ley de contratos del Sector Público L9-2017
"De acuerdo con el artículo 134 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, por la que se transponen al ordenamiento jurídico español las Directivas del Parlamento Europeo y del Consejo 2014/23/UE y 2014/24/UE, de 26 de febrero de 2014, los órganos de contratación podrán publicar un anuncio de información previa:","Con el fin de dar a conocer aquellos contratos de obras, suministros o servicios que, estando sujetos a regulación armonizada, tengan proyectado adjudicar.","Con el fin de dar a conocer aquellos contratos de obras que, estando sujetos a regulación armonizada, tengan proyectado adjudicar.","Con el fin de dar a conocer aquellos contratos de obras, suministros o servicios que, sin estar sujetos a regulación armonizada, tengan proyectado adjudicar.","Con el fin de dar a conocer aquellos contratos de obras y suministros que, sin estar sujetos a regulación armonizada, tengan proyectado adjudicar.",1,"El artículo 134 de la Ley 9/2017 establece que los anuncios de información previa se publican para dar a conocer contratos de obras, suministros o servicios sujetos a regulación armonizada.",Ley de contratos del Sector Público L9-2017
"Los órganos de contratación que decidan recurrir a una subasta electrónica deberán indicarlo en el anuncio de licitación e incluir en el pliego de condiciones, como mínimo, la siguiente información:","Los elementos objetivos a cuyos valores se refiera la subasta electrónica y en su caso, los límites de los valores que podrán presentarse, tal como resulten de las especificaciones relativas al objeto del contrato.","La información que se pondrá a disposición de los licitadores durante la subasta electrónica y, cuando proceda, el momento en que se facilitará.",La forma en que se desarrollará la subasta y el dispositivo electrónico utilizado y las modalidades y especificaciones técnicas de conexión.,Todas las respuestas son correctas.,4,El artículo 145 de la Ley 9/2017 establece que todas las opciones mencionadas deben incluirse en el pliego de condiciones cuando se recurra a una subasta electrónica.,Ley de contratos del Sector Público L9-2017
"De acuerdo con el artículo 145.3 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, por la que se transponen al ordenamiento jurídico español las Directivas del Parlamento Europeo y del Consejo 2014/23/UE y 2014/24/UE, de 26 de febrero de 2014, la aplicación de más de un criterio de adjudicación procederá, en todo caso, en la adjudicación de los siguientes contratos:",Aquellos contratos cuyos proyectos o presupuestos hayan podido ser establecidos previamente y deban ser presentados por los candidatos o licitadores.,Cuando el órgano de contratación considere que la prestación es indefinible.,"Aquellos contratos para cuya ejecución facilite el órgano, organismo o entidad contratante materiales o medios auxiliares cuya buena utilización exija garantías especiales por parte de los contratistas.",Aquellos contratos que no requieran el empleo de tecnología especialmente avanzada o cuya ejecución no sea particularmente compleja.,1,El artículo 145.3 de la Ley 9/2017 establece que la aplicación de más de un criterio de adjudicación es obligatoria en contratos cuyos proyectos o presupuestos hayan sido establecidos previamente y deban ser presentados por los candidatos o licitadores.,Ley de contratos del Sector Público L9-2017
"De acuerdo con el artículo 150.2 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, por la que se transponen al ordenamiento jurídico español las Directivas del Parlamento Europeo y del Consejo 2014/23/UE y 2014/24/UE, de 26 de febrero de 2014, una vez aceptada la propuesta de la mesa por el órgano de contratación, los servicios correspondientes requerirán al licitador que haya presentado la mejor oferta:","Para que, dentro del plazo de diez días hábiles, a contar desde el siguiente a aquel en que hubiera recibido el requerimiento, presente la documentación justificativa de las circunstancias a las que se refieren las letras a) a c) del apartado 1 del artículo 140 si no se hubiera aportado con anterioridad, tanto del licitador como de aquellas otras empresas a cuyas capacidades se recurra.","Para que, dentro del plazo de diez días hábiles, a contar desde el siguiente a aquel en que hubiera recibido el requerimiento, presente la documentación justificativa de disponer efectivamente de los medios que se hubiese comprometido a dedicar o adscribir a la ejecución del contrato  y de haber constituido la garantía definitiva que sea procedente.","Para que, dentro del plazo de diez días hábiles, a contar desde el siguiente a aquel en que hubiera recibido el requerimiento, presente la documentación justificativa de haber constituido la garantía definitiva que sea procedente.",Todas las respuestas son correctas.,4,"El artículo 150.2 de la Ley 9/2017 establece que el licitador debe presentar la documentación justificativa de las circunstancias mencionadas en las opciones a, b y c.",Ley de contratos del Sector Público L9-2017
"La notificación y la publicación en la Plataforma de Contratos del Sector Público de la resolución de adjudicación deberán contener la información necesaria que permita a los interesados en el procedimiento de adjudicación interponer recurso suficientemente fundado contra la decisión de adjudicación, y entre esta información, en todo caso, deberá figurar:","En relación con los candidatos descartados, no será necesario exponer las razones por las que se haya desestimado su candidatura.","Con respecto a los licitadores excluidos del procedimiento de adjudicación, los motivos por los que no se haya admitido su oferta.",El nombre del adjudicatario sin ninguna otra información de acuerdo con la normativa reguladora de la protección de datos.,No será necesario indicar el plazo en que debe procederse a la formalización del contrato.,2,El artículo 151 de la Ley 9/2017 establece que la notificación y publicación de la resolución de adjudicación deben incluir los motivos por los que no se admitió la oferta de los licitadores excluidos.,Ley de contratos del Sector Público L9-2017
"De acuerdo con el artículo 152 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, por la que se transponen al ordenamiento jurídico español las Directivas del Parlamento Europeo y del Consejo 2014/23/UE y 2014/24/UE, de 26 de febrero de 2014, en el caso en que el órgano de contratación desista del procedimiento de adjudicación:","El desistimiento deberá estar fundado en una infracción no subsanable de las normas de preparación del contrato o de las reguladoras del procedimiento de adjudicación, debiendo justificarse en el expediente la concurrencia de la causa.",El desistimiento impedirá la iniciación inmediata de un procedimiento de licitación.,El desistimiento no impedirá la iniciación inmediata de un procedimiento de licitación.,Las respuestas a) y c) son correctas.,4,El artículo 152 de la Ley 9/2017 establece que el desistimiento debe estar justificado y no impide la iniciación inmediata de un nuevo procedimiento de licitación.,Ley de contratos del Sector Público L9-2017
Señale la respuesta incorrecta:,"La formalización de los contratos deberá publicarse, junto con el correspondiente contrato, en un plazo no superior a quince días tras el perfeccionamiento del contrato en el perfil de contratante del órgano de contratación.","Cuando el contrato esté sujeto a regulación armonizada, el anuncio de formalización deberá publicarse, además, en el «Diario Oficial de la Unión Europea».","El órgano de contratación publicará trimestralmente dentro de los 30 días siguientes al fin de cada trimestre la adjudicación de los contratos basados en un acuerdo marco o de los contratos específicos en el marco de un sistema dinámico de adquisición, ya perfeccionados en virtud de lo establecido en el artículo 36.3 de la Ley 9/2017, de 8 de noviembre, de contratos del sector público.",Los contratos menores no serán objeto de publicación.,3,El artículo 156 de la Ley 9/2017 no establece la obligación de publicar trimestralmente la adjudicación de contratos basados en un acuerdo marco o de contratos específicos en el marco de un sistema dinámico de adquisición.,Ley de contratos del Sector Público L9-2017
"De acuerdo con el artículo 156.2 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, por la que se transponen al ordenamiento jurídico español las Directivas del Parlamento Europeo y del Consejo 2014/23/UE y 2014/24/UE, de 26 de febrero de 2014, en los procedimientos abiertos de adjudicación de contratos sujetos a regulación armonizada, el plazo general de presentación de proposiciones:","No será inferior a treinta y cinco días, para los contratos de obras, suministros y servicios, y a treinta días para las concesiones de obras y servicios, contados desde la fecha de envío del anuncio de licitación a la Oficina de Publicaciones de la Unión Europea.","No será inferior a cuarenta días, para los contratos de obras, suministros y servicios, y a veinticinco días para las concesiones de obras y servicios, contados desde la fecha de envío del anuncio de licitación a la Oficina de Publicaciones de la Unión Europea.","No será inferior a treinta días, para los contratos de obras, suministros y servicios, y a veinte días para las concesiones de obras y servicios, contados desde la fecha de envío del anuncio de licitación a la Oficina de Publicaciones de la Unión Europea.","No será inferior a treinta y cinco días, para los contratos de obras, suministros y servicios, y a treinta días para las concesiones de obras y servicios, contados desde la fecha de recepción del anuncio de licitación en la Oficina de Publicaciones de la Unión Europea.",1,"El artículo 156.2 de la Ley 9/2017 establece que el plazo general de presentación de proposiciones no será inferior a 35 días para contratos de obras, suministros y servicios, y 30 días para concesiones, contados desde la fecha de envío del anuncio de licitación a la Oficina de Publicaciones de la Unión Europea.",Ley de contratos del Sector Público L9-2017
"Cuando el valor estimado de un contrato de obras sea igual a 2.000.000€ y entre los criterios de adjudicación previstos en el pliego no haya ninguno evaluable mediante juicio de valor, se podrá aplicar el procedimiento:",Restringido.,Negociado.,Derivado.,Abierto simplificado.,4,El artículo 159 de la Ley 9/2017 permite aplicar el procedimiento abierto simplificado cuando no haya criterios evaluables mediante juicio de valor y el valor estimado del contrato sea inferior a 5.000.000€.,Ley de contratos del Sector Público L9-2017
"De acuerdo con el artículo 160.4 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, por la que se transponen al ordenamiento jurídico español las Directivas del Parlamento Europeo y del Consejo 2014/23/UE y 2014/24/UE, de 26 de febrero de 2014, el procedimiento de contratación restringido es especialmente adecuado cuando se trata:",De servicios de limpieza.,"De servicios de consultoría, de arquitectura o de ingeniería.",De obras.,De suministros.,2,"El artículo 160.4 de la Ley 9/2017 establece que el procedimiento restringido es especialmente adecuado para servicios de consultoría, arquitectura o ingeniería.",Ley de contratos del Sector Público L9-2017
"De acuerdo con el artículo 167 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, por la que se transponen al ordenamiento jurídico español las Directivas del Parlamento Europeo y del Consejo 2014/23/UE y 2014/24/UE, de 26 de febrero de 2014, los órganos de contratación podrán adjudicar contratos utilizando el procedimiento de licitación con negociación en los contratos de obras, suministros, servicios, concesión de obras y concesión de servicios cuando se dé alguna de las siguientes situaciones:",Las respuestas b) y c) son correctas.,Cuando la prestación objeto del contrato incluya un proyecto o soluciones innovadoras.,"Cuando el contrato no pueda adjudicarse sin negociaciones previas debido a circunstancias específicas vinculadas a la naturaleza, la complejidad o la configuración jurídica o financiera de la prestación que constituya su objeto, o por los riesgos inherentes a la misma.",Cuando en los procedimientos abiertos o restringidos seguidos previamente solo se hubieren presentado ofertas anormalmente bajas.,1,El artículo 167 de la Ley 9/2017 establece que el procedimiento de licitación con negociación se aplica en los casos mencionados en las opciones b) y c).,Ley de contratos del Sector Público L9-2017
"De acuerdo con el artículo 168 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, por la que se transponen al ordenamiento jurídico español las Directivas del Parlamento Europeo y del Consejo 2014/23/UE y 2014/24/UE, de 26 de febrero de 2014, los órganos de contratación podrán adjudicar contratos utilizando el procedimiento negociado sin la previa publicación de un anuncio de licitación únicamente en los siguientes casos:","En los contratos de obras, suministros, servicios, concesión de obras y concesión de servicios, en los casos en que no se haya presentado ninguna oferta; ninguna oferta adecuada; ninguna solicitud de participación; o ninguna solicitud de participación adecuada en respuesta a un procedimiento abierto o a un procedimiento restringido, siempre que las condiciones iniciales del contrato se modifiquen sustancialmente, pudiéndose incrementar el presupuesto base de licitación.","En los contratos de obras, suministros, servicios, concesión de obras y concesión de servicios, en los casos en que no se haya presentado ninguna oferta; ninguna oferta adecuada; ninguna solicitud de participación; o ninguna solicitud de participación adecuada en respuesta a un procedimiento abierto o a un procedimiento restringido, siempre que las condiciones iniciales del contrato no se modifiquen sustancialmente, sin que en ningún caso se pueda incrementar el presupuesto base de licitación ni modificar el sistema de retribución, y que se envíe un informe a la Comisión Europea cuando esta así lo solicite.","En los contratos de obras, suministros y servicios, en casos de emergencia.","En los contratos de suministro, siempre y cuando los productos no sean para fines de investigación, experimentación, estudio o desarrollo.",2,El artículo 168 de la Ley 9/2017 establece que el procedimiento negociado sin publicación previa se aplica en los casos mencionados en la opción b).,Ley de contratos del Sector Público L9-2017
"De acuerdo con el artículo 175 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, por la que se transponen al ordenamiento jurídico español las Directivas del Parlamento Europeo y del Consejo 2014/23/UE y 2014/24/UE, de 26 de febrero de 2014, la mesa especial del diálogo competitivo desarrollará con los candidatos seleccionados un diálogo cuyo fin será determinar y definir los medios adecuados para satisfacer sus necesidades. En el transcurso de este diálogo, podrán debatirse:",Únicamente los aspectos económicos del contrato con los candidatos seleccionados.,Únicamente las cuestiones técnicas del contrato con los candidatos seleccionados.,Todos los aspectos del contrato con los candidatos seleccionados.,Únicamente los criterios de adjudicación.,3,El artículo 175 de la Ley 9/2017 establece que en el diálogo competitivo pueden debatirse todos los aspectos del contrato con los candidatos seleccionados.,Ley de contratos del Sector Público L9-2017
"De acuerdo con el artículo 183 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, por la que se transponen al ordenamiento jurídico español las Directivas del Parlamento Europeo y del Consejo 2014/23/UE y 2014/24/UE, de 26 de febrero de 2014, son concursos de proyectos:","Los procedimientos encaminados a la obtención de planos o proyectos, principalmente en los campos de la arquitectura, el urbanismo, la ingeniería y el procesamiento de datos, a través de una selección que, tras la correspondiente licitación, se encomienda a un jurado.","Los procedimientos encaminados a la obtención de pliegos, principalmente en los campos de la arquitectura, el urbanismo, la ingeniería y el procesamiento de datos, a través de una selección que, tras la correspondiente licitación, se encomienda a un jurado.","Los procedimientos encaminados a la obtención de planos o proyectos, principalmente en los campos de la arquitectura, el urbanismo, la ingeniería y el procesamiento de datos, a través de una selección que, tras la correspondiente licitación, se encomienda a un comité de expertos.","Los procedimientos encaminados a la obtención de pliegos, principalmente en los campos de la arquitectura, el urbanismo, la ingeniería y el procesamiento de datos, a través de una selección que, tras la correspondiente licitación, se encomienda a un jurado.",1,"El artículo 183 de la Ley 9/2017 define los concursos de proyectos como procedimientos para obtener planos o proyectos, principalmente en los campos de la arquitectura, el urbanismo, la ingeniería y el procesamiento de datos, a través de un jurado.",Ley de contratos del Sector Público L9-2017
"De acuerdo con el artículo 192 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, por la que se transponen al ordenamiento jurídico español las Directivas del Parlamento Europeo y del Consejo 2014/23/UE y 2014/24/UE, de 26 de febrero de 2014, respecto a las penalidades que puedan prever los pliegos:","Deberán ser proporcionales a la gravedad del incumplimiento y las cuantías de cada una de ellas no podrán ser superiores al 5 por ciento del precio del contrato, IVA incluido, ni el total de las mismas superar el 30 por cien del precio del contrato.","Deberán ser proporcionales a la gravedad del incumplimiento y las cuantías de cada una de ellas no podrán ser superiores al 10 por ciento del precio del contrato, IVA excluido, ni el total de las mismas superar el 50 por cien del precio del contrato.","Deberán ser proporcionales a la gravedad del incumplimiento y las cuantías de cada una de ellas no podrán ser superiores al 10 por ciento del precio del contrato, IVA incluido, ni el total de las mismas superar el 40 por cien del precio del contrato.","Deberán ser proporcionales a la gravedad del incumplimiento y las cuantías de cada una de ellas no podrán ser superiores al 5 por ciento del precio del contrato, IVA excluido, ni el total de las mismas superar el 40 por cien del precio del contrato.",1,El artículo 192 de la Ley 9/2017 establece que las penalidades no pueden superar el 5% del precio del contrato (IVA incluido) ni el 30% del precio total del contrato.,Ley de contratos del Sector Público L9-2017
"De acuerdo con el artículo 202 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, por la que se transponen al ordenamiento jurídico español las Directivas del Parlamento Europeo y del Consejo 2014/23/UE y 2014/24/UE, de 26 de febrero de 2014, los órganos de contratación podrán establecer condiciones especiales en relación con la ejecución del contrato:",Siempre que no estén vinculadas al objeto del contrato.,Siempre que no sean directa o indirectamente discriminatorias.,Siempre que no sean incompatibles con el Derecho de la Unión Europea.,Siempre que se indiquen en la resolución de aprobación del contrato.,2,"El artículo 202.1 de la Ley 9/2017 establece que los órganos de contratación podrán establecer condiciones especiales en relación con la ejecución del contrato, siempre que estén vinculadas al objeto del contrato, en el sentido del artículo 145, no sean directa o indirectamente discriminatorias, sean compatibles con el Derecho de la Unión Europea y se indiquen en el anuncio de licitación y en los pliegos.",Ley de contratos del Sector Público L9-2017
"De acuerdo con el artículo 206 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, por la que se transponen al ordenamiento jurídico español las Directivas del Parlamento Europeo y del Consejo 2014/23/UE y 2014/24/UE, de 26 de febrero de 2014, en los supuestos de modificación del contrato por causas no previstas en el pliego de cláusulas administrativas particulares, las modificaciones acordadas por el órgano de contratación serán:","Optativas para los contratistas cuando impliquen, aislada o conjuntamente, una alteración en su cuantía que no exceda del 20 por ciento del precio inicial del contrato, IVA incluido.","Obligatorias para los contratistas cuando impliquen, aislada o conjuntamente, una alteración en su cuantía que no exceda del 30 por ciento del precio inicial del contrato, IVA excluido.","Obligatorias para los contratistas cuando impliquen, aislada o conjuntamente, una alteración en su cuantía que no exceda del 20 por ciento del precio inicial del contrato, IVA excluido.","Optativas para los contratistas cuando impliquen, aislada o conjuntamente, una alteración en su cuantía que no exceda del 30 por ciento del precio inicial del contrato, IVA incluido.",3,"El artículo 206 de la Ley 9/2017 establece que las modificaciones son obligatorias para los contratistas cuando no excedan del 20% del precio inicial del contrato, IVA excluido.",Ley de contratos del Sector Público L9-2017
Cuando el contrato se resuelva por incumplimiento culpable del contratista:,Le será incautada la garantía.,"Deberá, además, indemnizar a la Administración los daños y perjuicios ocasionados en lo que excedan del importe de la garantía incautada.",El expediente de resolución contractual deberá ser instruido y resuelto en el plazo máximo de ocho meses.,Todas las respuestas son correctas.,4,El artículo 208 de la Ley 9/2017 establece que todas las opciones mencionadas son consecuencias de la resolución del contrato por incumplimiento culpable del contratista.,Ley de contratos del Sector Público L9-2017
La duración de un acuerdo marco:,No podrá exceder de cuatro años.,No podrá exceder de cinco años.,No podrá exceder de tres años.,No podrá exceder de dos años.,1,El artículo 221 de la Ley 9/2017 establece que la duración de un acuerdo marco no podrá exceder de cuatro años.,Ley de contratos del Sector Público L9-2017
"Señale la respuesta incorrecta. Aprobado el proyecto y previamente a la aprobación del expediente de contratación de la obra, se procederá a efectuar:","En la tramitación de los expedientes de contratación referentes a obras de infraestructuras hidráulicas, de transporte y de carreteras, en ningún caso se dispensará del requisito previo de disponibilidad de los terrenos.",El replanteo del proyecto.,Una vez realizado el replanteo se incorporará el proyecto al expediente de contratación.,El replanteo consistirá en comprobar la realidad geométrica de la obra y la disponibilidad de los terrenos precisos para su normal ejecución.,1,"El artículo 237 de la Ley 9/2017 no establece que en ningún caso se dispense del requisito previo de disponibilidad de los terrenos para obras de infraestructuras hidráulicas, de transporte y de carreteras.",Ley de contratos del Sector Público L9-2017
